20151122 22:52:35  ubug_create_dbtable - creatTab -> "Function" - "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'create table if not exists %s(ID bigint(32) not null primary key auto_increment,' at line 1"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:00:20  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
20151123 00:05:29  ubug_list_entity_set - sp_net_set_sockif -> "Function" - "Resource temporarily unavailable"
